"time","ca_cyto.c.c","ca_sub.c.c"
0,0.0001206,6.397e-05
1e-06,0.0001205689374121737,6.536781641687087e-05
2e-06,0.0001205386586743195,6.673035958588783e-05
3e-06,0.0001205091439162501,6.805852366545893e-05
4e-06,0.0001204803738727998,6.935317558801776e-05
5e-06,0.0001204523297399957,7.061516153232009e-05
6e-06,0.0001204249932088126,7.1845305404481e-05
7.000000000000001e-06,0.0001203983464288121,7.304441047421191e-05
8e-06,0.0001203723719943514,7.421325999541605e-05
9e-06,0.0001203470529385026,7.535261747982841e-05
1e-05,0.0001203223727215844,7.646322721308758e-05
1.1e-05,0.0001202983152267737,7.754581445222027e-05
1.2e-05,0.0001202748647463938,7.860108604265776e-05
1.3e-05,0.0001202520059608724,7.962973136513602e-05
1.4e-05,0.0001202297239472741,8.063242195172883e-05
1.5e-05,0.0001202080041479228,8.160981289784623e-05
1.6e-05,0.0001201868323754216,8.256254263632982e-05
1.7e-05,0.0001201661948078249,8.349123315472017e-05
1.8e-05,0.0001201460779602383,8.439649127324875e-05
1.9e-05,0.0001201264686965805,8.527890811555787e-05
2e-05,0.000120107354210734,8.613905995691938e-05
2.1e-05,0.0001200887220178121,8.697750861722282e-05
2.2e-05,0.0001200705599526295,8.779480152979426e-05
2.3e-05,0.0001200528561499456,8.859147263044397e-05
2.4e-05,0.0001200355990489233,8.936804215682675e-05
2.5e-05,0.0001200187773789664,9.012501728576296e-05
2.6e-05,0.0001200023801455337,9.08628927715978e-05
2.7e-05,0.0001199863966478016,9.158215015136852e-05
2.8e-05,0.0001199708164384282,9.228325955546342e-05
2.9e-05,0.0001199556293429464,9.296667883487792e-05
3e-05,0.0001199408254541704,9.36328538129682e-05
3.1e-05,0.0001199263950934791,9.428222002767252e-05
3.2e-05,0.0001199123288381721,9.491520150049403e-05
3.3e-05,0.0001198986174968853,9.553221184281528e-05
3.4e-05,0.0001198852521124819,9.613365412577474e-05
3.5e-05,0.0001198722239607887,9.671992093715741e-05
3.6e-05,0.0001198595245284816,9.729139537653816e-05
3.7e-05,0.0001198471455277181,9.784845039682444e-05
3.8e-05,0.000119835078873389,9.839144982791442e-05
3.9e-05,0.0001198233166784302,9.892074858768663e-05
4e-05,0.0001198118512712751,9.943669189663363e-05
4.1e-05,0.0001198006751505473,9.993961731667891e-05
4.2e-05,0.0001197897810187946,0.0001004298532331664
4.3e-05,0.0001197791617651307,0.0001009077196359712
4.4e-05,0.0001197688104536277,0.0001013735286418353
4.5e-05,0.0001197587203286953,0.0001018275842523272
4.6e-05,0.0001197488847975299,0.0001022701831435856
4.7e-05,0.0001197392974353701,0.0001027016144298784
4.8e-05,0.000119729951982127,0.0001031221598151944
4.9e-05,0.000119720842326661,0.0001035320943008079
5e-05,0.0001197119625265444,0.0001039316852959593
5.1e-05,0.0001197033067777782,0.0001043211939805965
5.2e-05,0.0001196948694255219,0.0001047008748225392
5.3e-05,0.0001196866449713251,0.0001050709752520477
5.4e-05,0.0001196786280349888,0.0001054317373780678
5.5e-05,0.0001196708133818418,0.0001057833967607988
5.600000000000001e-05,0.0001196631959044197,0.0001061261832361315
5.7e-05,0.0001196557706248835,0.0001064603208068229
5.799999999999999e-05,0.0001196485326986332,0.0001067860274798539
5.9e-05,0.0001196414773946156,0.0001071035161526279
5.999999999999999e-05,0.0001196346001096853,0.0001074129939666752
6.1e-05,0.0001196278963540367,0.0001077146629632402
6.2e-05,0.000119621361742005,0.000108008720497237
6.3e-05,0.0001196149920159445,0.0001082953581627179
6.4e-05,0.0001196087830052652,0.0001085747636362266
6.500000000000001e-05,0.0001196027306530393,0.0001088471194795116
6.600000000000001e-05,0.0001195968310128089,0.0001091126032831744
6.7e-05,0.0001195910802300974,0.000109371388498653
6.8e-05,0.000119585474553949,0.00010962364391896
6.900000000000001e-05,0.0001195800103214524,0.0001098695343750959
7.000000000000001e-05,0.000119574683961694,0.0001101092205581679
7.099999999999999e-05,0.000119569491998665,0.0001103428588885691
7.2e-05,0.0001195644310338563,0.000110570602299209
7.3e-05,0.0001195594977676291,0.0001107925992738239
7.4e-05,0.0001195546889765671,0.0001110089948661451
7.499999999999999e-05,0.0001195500015150628,0.0001112199306285127
7.6e-05,0.0001195454323347677,0.0001114255437365974
7.7e-05,0.0001195409784438676,0.0001116259688220381
7.8e-05,0.0001195366369341729,0.0001118213367533609
7.900000000000001e-05,0.0001195324049671632,0.0001120117752639867
8.000000000000001e-05,0.0001195282797755738,0.0001121974088808198
8.1e-05,0.0001195242586698693,0.0001123783586329547
8.2e-05,0.0001195203390209039,0.0001125547428319402
8.300000000000001e-05,0.0001195165182715624,0.0001127266765479653
8.4e-05,0.0001195127939304432,0.0001128942718940929
8.499999999999999e-05,0.0001195091635571203,0.0001130576386895003
8.6e-05,0.0001195056247899456,0.0001132168832083344
8.7e-05,0.0001195021753096959,0.0001133721098156493
8.8e-05,0.0001194988128591691,0.000113523420085535
8.899999999999999e-05,0.000119495535249797,0.0001136709125035511
9.000000000000001e-05,0.0001194923403391686,0.0001138146834781964
9.1e-05,0.0001194892260452557,0.0001139548267007359
9.2e-05,0.000119486190333696,0.0001140914337174724
9.300000000000001e-05,0.0001194832312184912,0.0001142245938983281
9.400000000000001e-05,0.0001194803467704404,0.0001143543940573317
